# name         mass[kg]        x[m]           y[m]           z[m]        vx[m/s]        vy[m/s]        vz[m/s]
Planet_000    4.427937e+20  4.478198e+11  2.732131e+11 -1.855165e+09 -8.283520e+03  1.357740e+04  4.011989e+01
Planet_001    1.295746e+25 -3.726459e+11 -8.625636e+10 -3.356046e+09  4.200316e+03 -1.814626e+04 -3.403376e+01
Planet_002    1.023348e+20 -1.694906e+12  2.916037e+12 -5.096733e+09 -5.422967e+03 -3.152024e+03 -6.372421e+00
Planet_003    7.811849e+21 -7.172408e+11 -5.047552e+11 -8.602461e+09  7.079159e+03 -1.005926e+04 -5.167829e+00
Planet_004    5.500866e+24  7.559194e+12  4.983470e+12 -7.156499e+09 -2.107175e+03  3.196277e+03 -4.787640e+01
Planet_005    1.064206e+25 -8.159458e+12 -4.055168e+12 -4.693566e+09  1.698450e+03 -3.417474e+03  2.687947e+01
Planet_006    4.502100e+23  1.092234e+12 -3.257017e+12 -5.862751e+09  5.892677e+03  1.976097e+03  2.707495e+00
Planet_007    4.127381e+24 -3.226624e+12  7.422592e+12 -2.035237e+09 -3.713474e+03 -1.614259e+03  1.275213e+00
Planet_008    2.190743e+25 -4.419883e+12 -5.231554e+12  3.333153e+09  3.362445e+03 -2.840764e+03 -1.386353e+00
Planet_009    3.349955e+24 -4.712803e+12  4.741219e+12 -9.363174e+09 -3.159876e+03 -3.140938e+03 -3.185351e+01
Planet_010    1.048966e+21  7.024099e+12 -4.235113e+12  3.161483e+09  2.076894e+03  3.444609e+03 -1.630838e+01
Planet_011    2.747964e+23  3.504975e+12  1.738717e+12 -8.646586e+08 -2.588069e+03  5.217132e+03 -1.638939e+01
Planet_012    1.193918e+20  1.608614e+12  9.949212e+11  2.566350e+09 -4.405943e+03  7.123640e+03 -1.480863e+01
Planet_013    2.850491e+25 -2.245902e+12 -4.577135e+11  4.473267e+09  1.519455e+03 -7.455639e+03  1.388008e+01
Planet_014    2.513270e+21  9.666125e+12 -2.220710e+12  2.599814e+09  8.190213e+02  3.564968e+03 -1.618852e+00
Planet_015    3.235199e+24  1.774452e+12 -8.974087e+10 -1.110002e+09  4.365132e+02  8.631203e+03 -4.558701e+01
